Recipe,Type,Difficulty,Ingredients,Calories (kcal),Protein (g),Carbohydrates (g),Total Fat (g),Saturated Fat (g),Fibre (g),Free Sugar (g),Sodium (mg),Prep Time (min),Instructions
Aglio e Olio,Pasta,,"Olive oil, garlic, red pepper, linguine, spinach, vegetable stock, parmesan, tomato, basil, flatbread",451,10.4,52.4,21.9,2.7,8.1,,527.5,,
Apricot Glazed Roast Pork,Pork,,"Pork loin, salt, oil, sugar, peaches, dry sherry, apricot spread, garlic, teriyaki sauce",305,28.0,18.9,11.6,3.6,1.1,,342.3,,
Berry Salad,Salad,,"Spinach, strawberries, blueberries, almonds, parmesan, vinaigrette, chicken",403,13.5,21.4,30.7,3.8,5.2,,141.7,,
BLT Wraps,Wrap,,"Basil, mayo, mustard, whole wheat tortillas, roast beef, tomatoes, lettuce",198,14.8,28.7,2.7,0.6,4.7,,1202.6,,
Black and Blue Quesadilla,Quesadilla,,"Red onion, flour tortillas, roast beef, blue cheese, balsamic vinaigrette",176,13.2,17.7,5.0,1.9,0.8,,1043.0,,
Black Bean and Spinach Lasagna,Lasagna,,"Eggs, ricotta, spinach, cilantro, Monterey Jack, black beans, pasta sauce",227,17.2,19.4,9.3,5.1,3.7,,659.0,,
Bran Flakes Baked Chicken,Chicken,,"Bran flakes, chicken breast, salt, pepper, herbs",190,25.5,13.1,4.3,0.7,2.6,,221.5,,
Chicken Kabobs Without Skewers,Chicken,,"Chicken breast, bell pepper, onion, brown rice, soy sauce, teriyaki sauce, pepper",379,40.3,39.9,5.4,1.4,5.1,,943.9,,
Dill and Feta Turkey Burgers,Turkey,,"Ground turkey, Dijon, dill, salt, olive oil, feta, whole wheat buns",372,29.2,16.0,21.7,5.6,2.3,,880.0,,
Greek Style Shrimp Saute,Seafood,,"Shrimp, grape tomatoes, olives, basil, feta, vinaigrette",204,26.0,11.5,5.7,1.3,1.3,,1344.6,,
Lasagna Stuffed Spaghetti Squash,Squash,,"Spaghetti squash, turkey, onion, tomato, cottage cheese, mozzarella, spices",460,33.3,25.6,26.6,8.0,5.4,,769.2,,
Meatless Maui,Vegetarian,,"Gimme Lean, TVP, carrots, onion, garlic, pineapple juice, teriyaki sauce, spices",293,25.1,31.7,6.9,1.0,9.1,,637.5,,